subsystem,reaction
24_25DHVITD3tm,24_25DHVITD3tm
25HVITD3t,25HVITD3t
COAtl,COAtl
EX_5adtststerone_e,EX_5adtststerone_e
EX_5adtststerones_e,EX_5adtststerones_e
EX_5fthf_e,EX_5fthf_e
EX_5htrp_e,EX_5htrp_e
EX_5mthf_e,EX_5mthf_e
EX_5thf_e,EX_5thf_e
EX_6dhf_e,EX_6dhf_e
24_25VITD3Hm,24_25VITD3Hm
24NPHte,24NPHte
10FTHF7GLUtl,10FTHF7GLUtl
10FTHFtm,10FTHFtm
11DOCRTSLtr,11DOCRTSLtr
13DAMPPOX,13DAMPPOX
24_25DHVITD2t,24_25DHVITD2t
24_25DHVITD2tm,24_25DHVITD2tm
24_25DHVITD3t,24_25DHVITD3t
25VITD2Hm,25VITD2Hm
2AMACHYD,2AMACHYD
2AMACSULT,2AMACSULT
2AMADPTm,2AMADPTm
2MCITt,2MCITt
2OXOADOXm,2OXOADOXm
2OXOADPTm,2OXOADPTm
34DHPHEt,34DHPHEt
34DHXMANDACOX,34DHXMANDACOX
34HPLFM,34HPLFM
3AIBtm,3AIBtm
3HAO,3HAO
3MOBt2im,3MOBt2im
3MOPt2im,3MOPt2im
3MOXTYROX,3MOXTYROX
3SALAOX,3SALAOX
42A12BOOX,42A12BOOX
4HBZCOAFm,4HBZCOAFm
4HBZFm,4HBZFm
4HDEBRISOQUINEte,4HDEBRISOQUINEte
4HOXPACDOX_NADP,4HOXPACDOX_NADP
4MOPt2im,4MOPt2im
4MPTNLte,4MPTNLte
4NPHSULT,4NPHSULT
4PYRDX,4PYRDX
5ADTSTSTERONEGLCtr,5ADTSTSTERONEGLCtr
5ADTSTSTERONESULT,5ADTSTSTERONESULT
5ADTSTSTERONEte,5ADTSTSTERONEte
5FTHFt2_1,5FTHFt2_1
5HOXINOXDA,5HOXINOXDA
5THFtl,5THFtl
5THFtm,5THFtm
7DHCHSTEROLtr,7DHCHSTEROLtr
7DHFtm,7DHFtm
A4GALTc,A4GALTc
A4GALTg,A4GALTg
A4GNT2g,A4GNT2g
AACTtm,AACTtm
ABO1g,ABO1g
ABO4g,ABO4g
ABO5g,ABO5g
ABO6g,ABO6g
ABO7g,ABO7g
ABO9g,ABO9g
ABTArm,ABTArm
ABTt,ABTt
ABUTt2rL,ABUTt2rL
ACACT10m,ACACT10m
ACACT5p,ACACT5p
ACACT8p,ACACT8p
ACACT9p,ACACT9p
ACALDtr,ACALDtr
ACALDtx,ACALDtx
ACCOALm,ACCOALm
ACCOAtr,ACCOAtr
ACETONEt2,ACETONEt2
ACGAGBSIDEtl,ACGAGBSIDEtl
ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte,ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte
ACGALtlg,ACGALtlg
ACGAMK,ACGAMK
ACGAMPM,ACGAMPM
ACGAMtly,ACGAMtly
ACGBGBSIDEtl,ACGBGBSIDEtl
ACHtn,ACHtn
ACHVESSEC_1,ACHVESSEC_1
ACN13ACNGALGBSIDEtg,ACN13ACNGALGBSIDEtg
ACNACNGAL14ACGLCGALGLUSIDEtg,ACNACNGAL14ACGLCGALGLUSIDEtg
ACNACNGALGBSIDEtg,ACNACNGALGBSIDEtg
ACNAMlt,ACNAMlt
ACNAMtn,ACNAMtn
ACNGALACGLCGAL14ACGLCGALGLUSIDEte,ACNGALACGLCGAL14ACGLCGALGLUSIDEte
ACNML,ACNML
