subsystem,reaction
"Transport, lysosomal",10FTHF5GLUtl
"Transport, mitochondrial",10FTHF5GLUtm
"Transport, lysosomal",10FTHF6GLUtl
"Transport, mitochondrial",10FTHF6GLUtm
"Transport, lysosomal",10FTHF7GLUtl
"Transport, mitochondrial",10FTHF7GLUtm
"Transport, lysosomal",10FTHFtl
"Transport, mitochondrial",10FTHFtm
"Transport, mitochondrial",11DOCRTSLtm
"Transport, endoplasmic reticular",11DOCRTSLtr
"Transport, mitochondrial",11DOCRTSTRNtm
"Transport, endoplasmic reticular",11DOCRTSTRNtr
Beta-Alanine metabolism,13DAMPPOX
Vitamin D metabolism,1a_24_25VITD2Hm
Vitamin D metabolism,1a_24_25VITD3Hm
Vitamin D metabolism,1a_25VITD2Hm
Vitamin D metabolism,1a_25VITD3Hm
"Transport, extracellular",1MNCAMti
Lysine metabolism,1PPDCRp
"Transport, extracellular",24_25DHVITD2t
"Transport, mitochondrial",24_25DHVITD2tm
"Transport, extracellular",24_25DHVITD3t
"Transport, mitochondrial",24_25DHVITD3tm
Vitamin D metabolism,24_25VITD2Hm
Vitamin D metabolism,24_25VITD3Hm
"Transport, extracellular",24NPHte
"Transport, extracellular",25HVITD2t
"Transport, extracellular",25HVITD2tin
"Transport, mitochondrial",25HVITD2tin_m
"Transport, mitochondrial",25HVITD2tm
"Transport, extracellular",25HVITD3t
"Transport, mitochondrial",25HVITD3tin_m
"Transport, mitochondrial",25HVITD3tm
Vitamin D metabolism,25VITD2Hm
Vitamin D metabolism,25VITD3Hm
"Glycine, serine, alanine, and threonine metabolism",2AMACHYD
Methionine and cysteine metabolism,2AMACSULT
Lysine metabolism,2AMADPTm
Pyrimidine catabolism,2DR1PP
Propanoate metabolism,2HBO
"Transport, extracellular",2HBt2
"Transport, extracellular",2HCO3_NAt
"Transport, extracellular",2MCITt
Lysine metabolism,2OXOADOXm
Tryptophan metabolism,2OXOADPTm
Tyrosine metabolism,34DHOXPEGOX
"Transport, extracellular",34DHOXPEGt
Tyrosine metabolism,34DHPHAMT
"Transport, extracellular",34DHPHEt
Tyrosine metabolism,34DHPLACOX
Tyrosine metabolism,34DHPLACOX_NADP_
Tyrosine metabolism,34DHXMANDACOX
Tyrosine metabolism,34DHXMANDACOX_NADP_
Ubiquinone synthesis,34HPLFM
Tyrosine metabolism,34HPPOR
"Transport, nuclear",35CGMPtn
"Valine, leucine, and isoleucine metabolism",3AIBTm
"Transport, mitochondrial",3AIBtmi
Ubiquinone synthesis,3DPHBH1
Ubiquinone synthesis,3DPHBH2
Sphingolipid metabolism,3DSPHR
Tryptophan metabolism,3HAO
Butanoate metabolism,3HBCDm
"Valine, leucine, and isoleucine metabolism",3HBCOAHLm
Tryptophan metabolism,3HKYNAKGAT
Tyrosine metabolism,3HLYTCL
Beta-Alanine metabolism,3HPCOAHYD
Propanoate metabolism,3HPPD
Tryptophan metabolism,3HXKYNDCL
Tryptophan metabolism,3HXKYNOXDA
Tyrosine metabolism,3M4HDXPAC
"Transport, extracellular",3MLDAt
"Transport, mitochondrial",3MOBt2im
"Transport, mitochondrial",3MOPt2im
Tyrosine metabolism,3MOX4HOXPGALDOX
Tyrosine metabolism,3MOX4HOXPGALDOX_NADP_
Tyrosine metabolism,3MOXTYROX
Purine catabolism,3NTD7l
"Transport, mitochondrial",3SALAASPm
Taurine and hypotaurine metabolism,3SALACBOXL
Taurine and hypotaurine metabolism,3SALAOX
Methionine and cysteine metabolism,3SALATAi
Methionine and cysteine metabolism,3SALATAim
Methionine and cysteine metabolism,3SPYRSP
Methionine and cysteine metabolism,3SPYRSPm
Tyrosine metabolism,41R1H2MAE12BOOX
Tyrosine metabolism,41R2A1H12BOOX
Tyrosine metabolism,42A12BOOX
"Transport, mitochondrial",4ABUTtm
Ubiquinone synthesis,4HBZCOAFm
Ubiquinone synthesis,4HBZFm
"Transport, extracellular",4HDEBRISOQUINEte
Arginine and proline metabolism,4HGLSDm
Tyrosine metabolism,4HOXPACDOX_NADP_
"Transport, mitochondrial",4MOPt2im
"Transport, extracellular",4MPTNLte
"Transport, mitochondrial",4MPTNLtm
"Transport, endoplasmic reticular",4MPTNLtr
"Transport, extracellular",4MTOLBUTAMIDEte
"Transport, extracellular",4NPHSFte
Cytochrome metabolism,4NPHSULT
"Transport, extracellular",4NPHte
"Transport, extracellular",4PYRDX
"Transport, extracellular",5ADTSTSTERONEGLCte
"Transport, endoplasmic reticular",5ADTSTSTERONEGLCtr
"Transport, extracellular",5ADTSTSTERONESte
Steroid metabolism,5ADTSTSTERONESULT
"Transport, extracellular",5ADTSTSTERONEte
"Transport, endoplasmic reticular",5ADTSTSTERONEtr
Heme synthesis,5AOPtm
"Transport, lysosomal",5DHFtl
"Transport, extracellular",5FTHFt2
Tryptophan metabolism,5HLTDL
"Transport, extracellular",5HOMEPRAZOLEte
Tryptophan metabolism,5HOXINDACTO2OX
Tryptophan metabolism,5HOXINDACTOXm
Tryptophan metabolism,5HOXINOXDA
Tryptophan metabolism,5HTRPDOX
"Transport, extracellular",5HTRPVESSEC
Tryptophan metabolism,5HXKYNDCL
Tryptophan metabolism,5HXKYNOXDA
"Transport, extracellular",5MTHFt
"Transport, extracellular",5MTHFt2
"Transport, lysosomal",5THFtl
"Transport, mitochondrial",5THFtm
"Transport, lysosomal",6DHFtl
"Transport, mitochondrial",6DHFtm
"Transport, extracellular",6HTSTSTERONEte
"Transport, endoplasmic reticular",6HTSTSTERONEtr
"Transport, lysosomal",6THFtl
"Transport, mitochondrial",6THFtm
"Transport, endoplasmic reticular",7DHCHSTEROLtr
"Transport, lysosomal",7DHFtl
"Transport, mitochondrial",7DHFtm
"Transport, lysosomal",7THFtl
"Transport, mitochondrial",7THFtm
N-glycan degradation,A_MANASE
N-glycan degradation,A_MANASEly
Sphingolipid metabolism,A4GALTc
Sphingolipid metabolism,A4GALTg
O-glycan metabolism,A4GNT1g
O-glycan metabolism,A4GNT2g
"Glycine, serine, alanine, and threonine metabolism",AACTOOR
"Transport, mitochondrial",AACTtm
Lysine metabolism,AASAD3m
Lysine metabolism,AATAi
Blood group synthesis,ABO1g
Blood group synthesis,ABO2g
Blood group synthesis,ABO3g
Blood group synthesis,ABO4g
Blood group synthesis,ABO5g
Blood group synthesis,ABO6g
Blood group synthesis,ABO7g
Blood group synthesis,ABO8g
Blood group synthesis,ABO9g
Glutamate metabolism,ABTArm
Pentose phosphate pathway,ABTD
"Transport, extracellular",ABTti
"Transport, lysosomal",ABUTt2rL
"Transport, extracellular",ABUTt4_2_r
"Valine, leucine, and isoleucine metabolism",ACACT10m
Tryptophan metabolism,ACACT1rm
Cholesterol metabolism,ACACT1x
"Transport, mitochondrial",ACACt2m
Fatty acid oxidation,ACACT4p
Fatty acid oxidation,ACACT5p
Fatty acid oxidation,ACACT6p
Fatty acid oxidation,ACACT7p
Fatty acid oxidation,ACACT8p
Fatty acid oxidation,ACACT9p
"Transport, peroxisomal",ACACtx
"Transport, mitochondrial",ACALDtm
"Transport, endoplasmic reticular",ACALDtr
"Transport, peroxisomal",ACALDtx
Fatty acid oxidation,ACCOACm
"Transport, extracellular",ACCOAgt
Propanoate metabolism,ACCOALm
"Transport, nuclear",ACCOAtn
"Transport, endoplasmic reticular",ACCOAtr
"Transport, extracellular",ACETONEt2
"Transport, mitochondrial",ACETONEt2m
"Transport, golgi apparatus",ACGAGBSIDEtg
"Transport, lysosomal",ACGAGBSIDEtl
"Transport, extracellular",ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",ACGALFUCGALACGALFUC12GAL14ACGLCGALGLUSIDEtg
"Transport, extracellular",ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEtg
Aminosugar metabolism,ACGALK
Aminosugar metabolism,ACGALK2
"Transport, golgi apparatus",ACGALtlg
"Transport, lysosomal",ACGALtly
Aminosugar metabolism,ACGAM6PSi
Aminosugar metabolism,ACGAMK
Aminosugar metabolism,ACGAMPM
"Transport, lysosomal",ACGAMtly
"Transport, golgi apparatus",ACGBGBSIDEtg
"Transport, lysosomal",ACGBGBSIDEtl
Phosphatidylinositol phosphate metabolism,ACGPID
Urea cycle,ACGSm
Glycerophospholipid metabolism,ACHEe
"Transport, nuclear",ACHtn
"Transport, extracellular",ACHVESSEC
Citric acid cycle,ACITL
"Transport, extracellular",ACN13ACNGALGBSIDEte
"Transport, golgi apparatus",ACN13ACNGALGBSIDEtg
"Transport, extracellular",ACN23ACNGALGBSIDEte
"Transport, golgi apparatus",ACN23ACNGALGBSIDEtg
"Transport, extracellular",ACNACNGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",ACNACNGAL14ACGLCGALGLUSIDEtg
"Transport, extracellular",ACNACNGALGBSIDEte
"Transport, golgi apparatus",ACNACNGALGBSIDEtg
Aminosugar metabolism,ACNAM9PL
Aminosugar metabolism,ACNAM9PL2
"Transport, lysosomal",ACNAMlt
Aminosugar metabolism,ACNAMPH
"Transport, nuclear",ACNAMtn
"Transport, extracellular",ACNGALACGLCGAL14ACGLCGALGLUSIDEte
"Transport, golgi apparatus",ACNGALACGLCGAL14ACGLCGALGLUSIDEtg
Aminosugar metabolism,ACNMLr
"Valine, leucine, and isoleucine metabolism",ACOAD10m
Butanoate metabolism,ACOAD1fm
"Valine, leucine, and isoleucine metabolism",ACOAD8m
"Valine, leucine, and isoleucine metabolism",ACOAD9m
Pyruvate metabolism,ACOAHi
Fatty acid oxidation,ACOAO7p
Urea cycle,ACODA
Citric acid cycle,ACONTm
Bile acid synthesis,ACOX22x
Bile acid synthesis,ACOX2x
Vitamin B2 metabolism,ACP1_FMN_
"Transport, mitochondrial",ACRNtm
Propanoate metabolism,ACS2
Glycolysis/gluconeogenesis,ACSm
Tryptophan metabolism,ACSOMT
Tryptophan metabolism,ACSRTNMT
"Transport, mitochondrial",ACt2m
"Transport, extracellular",ACt2r
"Transport, golgi apparatus",ACtg
Pyruvate metabolism,ACTLMO
Pyruvate metabolism,ACTNMO
Purine catabolism,ADA
Purine catabolism,ADAe
Propanoate metabolism,ADCim
"Transport, extracellular",ADEt
"Transport, lysosomal",ADEtl
"Transport, peroxisomal",ADHAPtx
Nucleotide interconversion,ADK1m
Nucleotide interconversion,ADK3
Nucleotide interconversion,ADK3m
Nucleotide interconversion,ADKd
Arginine and proline metabolism,ADMDC
Nucleotide interconversion,ADNCYC
Nucleotide interconversion,ADNK1m
"Transport, extracellular",ADNt
"Transport, extracellular",ADNt4
"Transport, lysosomal",ADNtl
"Transport, mitochondrial",ADNtm
Nucleotide interconversion,ADPGLC
Nucleotide interconversion,ADPMAN
Nucleotide interconversion,ADPRDPm
"Transport, extracellular",ADPRIBt
"Transport, peroxisomal",ADPtx
"Transport, peroxisomal",ADRNCOAtx
Fatty acid oxidation,ADRNCPT1
Fatty acid oxidation,ADRNCPT2
Fatty acid oxidation,ADRNCRNt
"Transport, extracellular",ADRNLPVESSEC
"Transport, extracellular",ADRNt
Selenoamino acid metabolism,ADSELK
Nucleotide interconversion,ADSK
Nucleotide interconversion,ADSL1
Purine synthesis,ADSL2
"Transport, extracellular",AFLATOXINte
Keratan sulfate synthesis,AG13T10g
Keratan sulfate synthesis,AG13T11g
Keratan sulfate synthesis,AG13T12g
